Date,Open,High,Low,Close,Volume
2019-03-10,11646.21,11652.77,11405.21,11457.84,417590476
2019-03-17,11497.98,11725.66,11462.9,11685.69,570380576
2019-03-24,11685.54,11823.29,11356.49,11364.17,508811705
2019-03-31,11323.2,11549.42,11299.8,11526.04,487040409
2019-04-07,11617.18,12029.26,11612.7,12009.75,477511684
2019-04-14,11979.73,12031.15,11846.6,11999.93,414571856
2019-04-21,12011.11,12243.63,11983.33,12222.39,390260935
2019-04-28,12224.32,12349.83,12182.98,12315.18,394982656
2019-05-05,12308.98,12435.67,12266.34,12412.75,350554405
2019-05-12,12171.9,12319.05,11957.31,12059.83,573108558
2019-05-19,12044.1,12310.37,11844.47,12238.94,584676813
2019-05-26,12226.85,12246.5,11926.34,12011.04,507965207
2019-06-02,12077.88,12124.55,11662.07,11726.84,437405882
2019-06-09,11661.12,12096.61,11620.64,12045.38,492052173
2019-06-16,12133.6,12227.4,12049.76,12096.4,324513658
2019-06-23,12112.47,12438.37,11987.55,12339.92,680583012
2019-06-30,12308.11,12408.22,12189.49,12398.8,460961902
2019-07-07,12616.34,12656.05,12484.26,12568.53,389109346
2019-07-14,12541.18,12587.44,12304.98,12323.32,458989477
2019-07-21,12346.59,12465.19,12172.59,12260.07,395927796
2019-07-28,12243.58,12599.93,12236.7,12419.9,466733124
2019-08-04,12398.29,12473.97,11836.75,11872.44,538577498
2019-08-11,11758.44,11865.63,11559.76,11693.8,581953839
2019-08-18,11801.06,11836.97,11266.48,11562.74,589519999
2019-08-25,11679.72,11853.14,11611.51,11611.51,397858209
2019-09-01,11619.66,11989.44,11551.99,11939.28,370526250
2019-09-08,11939.99,12205.1,11869.28,12191.73,368546015
2019-09-15,12210.87,12494.25,12179.88,12468.53,523059345
2019-09-22,12387.68,12490.84,12303.51,12468.01,517971681
2019-09-29,12432.3,12441.02,12141.82,12380.94,422733178
2019-10-06,12367.81,12497.28,11878.98,12012.81,376174195
2019-10-13,12008.77,12511.65,11933.02,12511.65,462569229
2019-10-20,12468.78,12814.49,12387.95,12633.6,475883905
2019-10-27,12661.93,12914.24,12646.28,12894.51,421001916
2019-11-03,12897.4,12992.07,12795.09,12961.05,412581697
2019-11-10,13022.95,13300.76,13019.18,13228.56,460718115
2019-11-17,13170.18,13308.26,13139.25,13241.75,395154800
2019-11-24,13255.78,13374.27,13043.9,13163.88,356406755
2019-12-01,13247.51,13314.92,13165.07,13236.38,320329343
2019-12-08,13264.93,13338.25,12927.07,13166.58,375495293
2019-12-15,13147.57,13423.41,12886.55,13282.72,389765455
2019-12-22,13349.86,13425.85,13140.22,13318.9,476203637
2019-12-29,13304.77,13381.44,13285.55,13337.11,99973933
2020-01-05,13301.43,13425.03,13120.72,13219.14,187562179
2020-01-12,13085.49,13548.2,12948.17,13483.31,403146391
2020-01-19,13521.86,13557.78,13362.2,13526.13,371224146
2020-01-26,13503.83,13640.06,13382.23,13576.68,367039250
2020-02-02,13374.99,13399.42,12973.7,12981.97,468721087
2020-02-09,13033.17,13606.97,12987.53,13513.81,472335233
2020-02-16,13476,13788.51,13445.41,13744.21,410345115
